PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41463568","Hospital-Based Genomic Surveillance of Klebsiella pneumoniae: Trends in Resistance and Infection","Olund-Matos E, Franco-Duarte R, Santa-Cruz A, Nogueira M, Correia-Neves M, Lopes D, Silva RJ, Araújo MR, Araújo IM, Martins AF, Nogueira CM, Faustino A, Cunha PG, Soares P, Rito T.","Biology (Basel). 2025 Dec 16;14(12):1795. doi: 10.3390/biology14121795.","Olund-Matos E","Biology (Basel)","2025","2025/12/30","PMC12731027","","10.3390/biology14121795"
"41436245","First full-genome alignment representative for the genus Pestivirus","Triebel S, Eulenfeld T, Ontiveros-Palacios N, Sweeney B, Tautz N, Marz M.","RNA. 2026 Feb 17;32(3):311-327. doi: 10.1261/rna.080732.125.","Triebel S","RNA","2026","2025/12/23","PMC12908451","","10.1261/rna.080732.125"
"41428500","ARKbase: Antimicrobial Resistance Knowledgebase1.0","Gambhir S, Pandey S, Bajetha H, Kaur J, Das A, Pranavathiyani G, Aggarwal R, Maity U, Dange S, Singh V, Zarkar M, Sankhdher R, Singh B, Seth S, Bhardwaj A.","Nucleic Acids Res. 2026 Jan 6;54(D1):D703-D714. doi: 10.1093/nar/gkaf1307.","Gambhir S","Nucleic Acids Res","2026","2025/12/22","PMC12807638","","10.1093/nar/gkaf1307"
"41427357","vir2vec: A Viral Genome-Wide Viral Embedding","Rancati S, Donelli PA, Nicora G, Bergomi L, Buonocore TM, Sy MA, Pandey S, Prosperi M, Salemi M, Bellazzi R, Boucher C, Parimbelli E, Marini S.","bioRxiv [Preprint]. 2025 Dec 29:2025.12.12.693901. doi: 10.64898/2025.12.12.693901.","Rancati S","bioRxiv","2025","2025/12/22","PMC12713144","","10.64898/2025.12.12.693901"
"41427332","evo3D: a generalised framework for structure-informed evolutionary analysis, implemented in R","Broyles BK, He Q.","bioRxiv [Preprint]. 2025 Dec 14:2025.12.12.694041. doi: 10.64898/2025.12.12.694041.","Broyles BK","bioRxiv","2025","2025/12/22","PMC12713595","","10.64898/2025.12.12.694041"
"41421351","Microbial-derived immunostimulatory small molecule augments anti-PD-1 therapy in lung cancer","Newsome RC, Liu H, Agbodzi B, Gharaibeh RZ, Zhou L, Jobin C.","Cell Rep Med. 2026 Jan 20;7(1):102519. doi: 10.1016/j.xcrm.2025.102519. Epub 2025 Dec 19.","Newsome RC","Cell Rep Med","2026","2025/12/20","PMC12866101","","10.1016/j.xcrm.2025.102519"
"41420144","Genomic and phenotypic diversities among Bacillus cereus isolates from cosmetics","Yossa N, Adu-Osei R, Canida T, Gopinath G, Binet R.","BMC Microbiol. 2025 Dec 19;26(1):53. doi: 10.1186/s12866-025-04311-x.","Yossa N","BMC Microbiol","2025","2025/12/19","PMC12831255","","10.1186/s12866-025-04311-x"
"41419697","Comprehensive genomic analysis of rabies virus in India reveals distinct lineages and evolutionary stability","Varun CN, Chandel S, Kumar DK, Siddalingaiah N, Telang S, Bhalke PS, Isloor S, Reddy V, Ashwini MA, Mahadevan A, Mani RS.","Virus Genes. 2026 Feb;62(1):92-105. doi: 10.1007/s11262-025-02212-9. Epub 2025 Dec 19.","Varun CN","Virus Genes","2026","2025/12/19","","","10.1007/s11262-025-02212-9"
"41418758","Phage-encoded small RNA hijacks host replication machinery to support the phage lytic cycle","Silverman A, Nashef R, Wasserman R, Noy T, Born S, Yao T, Geng Y, Rotbard H, Levkowitz A, Kaufman Y, Golding I, Melamed S.","Mol Cell. 2025 Dec 18;85(24):4678-4697.e12. doi: 10.1016/j.molcel.2025.11.019.","Silverman A","Mol Cell","2025","2025/12/19","PMC12767721","NIHMS2125194","10.1016/j.molcel.2025.11.019"
"41417106","Sphingobium salicis sp. nov., a novel endophyte with two subspecies from pioneer plants growing on primary substrates","Tournay RJ, Freeman JL, Levish M, Baker D, Firrincieli A, Doty SL.","Antonie Van Leeuwenhoek. 2025 Dec 19;119(1):16. doi: 10.1007/s10482-025-02214-5.","Tournay RJ","Antonie Van Leeuwenhoek","2025","2025/12/19","","","10.1007/s10482-025-02214-5"
"41415302","Identification of conserved RNA secondary structures in human respiratory syncytial virus A (hRSV A)","Dabiri DK, Rouse WB, Moss WN.","NAR Genom Bioinform. 2025 Dec 17;7(4):lqaf193. doi: 10.1093/nargab/lqaf193. eCollection 2025 Dec.","Dabiri DK","NAR Genom Bioinform","2025","2025/12/19","PMC12709179","","10.1093/nargab/lqaf193"
"41404704","VirJenDB: a FAIR (meta)data and bioinformatics platform for all viruses","Saghaei S, Siemers M, Ossetek KL, Richter S, Edwards RA, Roux S, Zielezinski A, Dutilh BE, Marz M, Cassman NA.","Nucleic Acids Res. 2026 Jan 6;54(D1):D912-D924. doi: 10.1093/nar/gkaf1224.","Saghaei S","Nucleic Acids Res","2026","2025/12/17","PMC12807664","","10.1093/nar/gkaf1224"
"41402414","Gene copy-number features generalize better than SNPs for antimicrobial resistance prediction in Staphylococcus aureus","Fistarol BF, Gervasio JD, Szöllősi GJ.","NPJ Antimicrob Resist. 2025 Dec 16;3(1):100. doi: 10.1038/s44259-025-00172-6.","Fistarol BF","NPJ Antimicrob Resist","2025","2025/12/16","PMC12708672","","10.1038/s44259-025-00172-6"
"41395970","Structure of the Enterobacter pan-genome is revealed using machine learning","Burrows JT, Li G, Monk JM, Chauhan SM, Palsson BO.","Microbiol Spectr. 2026 Feb 3;14(2):e0192225. doi: 10.1128/spectrum.01922-25. Epub 2025 Dec 15.","Burrows JT","Microbiol Spectr","2026","2025/12/15","PMC12889083","","10.1128/spectrum.01922-25"
"41395110","PanARGMiner (Pan-Genomic Antimicrobial Resistance Gene Miner): An advanced feature selection framework for extracting key resistance genes from pan-genomic datasets","Chen YC, Yang MR, Wu YW.","Comput Struct Biotechnol J. 2025 Nov 21;27:5363-5374. doi: 10.1016/j.csbj.2025.11.046. eCollection 2025.","Chen YC","Comput Struct Biotechnol J","2025","2025/12/15","PMC12699266","","10.1016/j.csbj.2025.11.046"
"41390370","Complete genome sequence and genetic features of a novel Pseudomonas sp. isolate (CAM1A) from tsetse fly gut captured in Dodeo, Cameroon","Mfopit YM, Engel JS, Nimzyk R, Schaffrath A, Chechet GD, Berger P, Ibrahim MAM, Achukwi DM, Mamman M, Balogun EO, Shuaibu MN, Kabir J, Reinhold-Hurek B, Kelm S.","BMC Genom Data. 2025 Dec 13;27(1):11. doi: 10.1186/s12863-025-01398-z.","Mfopit YM","BMC Genom Data","2025","2025/12/13","PMC12822146","","10.1186/s12863-025-01398-z"
"41387875","Reverse vaccinology-based identification of immunogenic membrane proteins from zoonotic multidrug-resistant Proteus vulgaris: a one health approach to cross-species vaccine development","Asghar F, Hussain Z, Habiba TU, Nawaz W.","BMC Vet Res. 2025 Dec 13;22(1):31. doi: 10.1186/s12917-025-05182-0.","Asghar F","BMC Vet Res","2025","2025/12/12","PMC12821171","","10.1186/s12917-025-05182-0"
"41385265","Potential confounding factors in currently used antibiotic susceptibility assays for the honey bee pathogen Melissococcus plutonius","Fowler P, Hawley R, Milbrath MO.","J Med Microbiol. 2025 Dec;74(12):002109. doi: 10.1099/jmm.0.002109.","Fowler P","J Med Microbiol","2025","2025/12/12","PMC12700387","","10.1099/jmm.0.002109"
"41381568","Klebsiella ARO112 promotes microbiota recovery, pathobiont clearance and prevents inflammation in IBD mice","Cabral V, Oliveira RA, Correia MB, Pedro MF, García-Garcerá M, Ubeda C, Xavier KB.","Nat Commun. 2025 Dec 11;16(1):10911. doi: 10.1038/s41467-025-67015-w.","Cabral V","Nat Commun","2025","2025/12/11","PMC12698716","","10.1038/s41467-025-67015-w"
"41359686","Rare metabolic gene essentiality is a determinant of microniche adaptation in Eschherichia coli","Ardalani O, Phaneuf PV, Krishnan J, Chauhan SM, Pride D, Zielinski DC, Monk JM, Nielsen LK, Palsson BO.","PLoS Pathog. 2025 Dec 8;21(12):e1013775. doi: 10.1371/journal.ppat.1013775. eCollection 2025 Dec.","Ardalani O","PLoS Pathog","2025","2025/12/08","PMC12704874","","10.1371/journal.ppat.1013775"
"41354924","Technological and probiotic properties of lactic acid bacteria and yeasts isolated from Ghanaian spontaneously fermented pearl-millet porridge, Hausa koko","Atter A, Diaz M, Mayer MJ, Tano-Debrah K, Kunadu AP, Owusu-Kwarteng J, Amoa-Awua W, Narbad A.","BMC Microbiol. 2025 Dec 7;26(1):1. doi: 10.1186/s12866-025-04537-9.","Atter A","BMC Microbiol","2025","2025/12/07","PMC12764126","","10.1186/s12866-025-04537-9"
"41353291","Evolutionary trajectories determine feasibility of collateral sensitivity-based antibiotic treatment strategies in critical bacterial pathogens","Chauhan V, Enkvist L, Chukhareva Y, Damell C, Cruz Davila E, Islam TM, Melander G, Paulsson E, Sundell A, Zweifel E, Af Klercker A, Knöppel A, Brandis G.","Commun Biol. 2025 Dec 6;9(1):38. doi: 10.1038/s42003-025-09303-1.","Chauhan V","Commun Biol","2025","2025/12/06","PMC12783184","","10.1038/s42003-025-09303-1"
"41351035","Draft genome sequence of Exiguobacterium acetylicum GM-14 isolated from beans","Morales-Aguilar JJ, Camacho-Beltrán E, López-Meyer M, Rincón-Enríquez G, Quiñones-Aguilar EE.","BMC Genom Data. 2025 Dec 5;27(1):6. doi: 10.1186/s12863-025-01393-4.","Morales-Aguilar JJ","BMC Genom Data","2025","2025/12/06","PMC12797445","","10.1186/s12863-025-01393-4"
"41350302","Exploitation of phage Carin-5's own DNA polymerase to sequence its T-hypermodified genome","Sieskind R, Missoury S, Bonhomme F, Nogaret P, Lucas-Staat S, Monot M, Skurnik M, Baudoux AC, Delarue M.","Sci Rep. 2025 Dec 5;15(1):43299. doi: 10.1038/s41598-025-26930-0.","Sieskind R","Sci Rep","2025","2025/12/05","PMC12686479","","10.1038/s41598-025-26930-0"
"41341958","Nanopore sequencing in veterinary medicine: from concepts to clinical applications","Chaves M, Hashish A, Goraichuk IV, Casserta LC, Mears MC, Gadu E, Bakre A, Alexander Morris ER, Shelkamy MMS, Nadendla S, Perez DR, El-Gazzar M.","Front Cell Infect Microbiol. 2025 Nov 18;15:1701570. doi: 10.3389/fcimb.2025.1701570. eCollection 2025.","Chaves M","Front Cell Infect Microbiol","2025","2025/12/04","PMC12669229","","10.3389/fcimb.2025.1701570"
"41334219","Low occurrence and clonal relatedness of multi-drug resistant Escherichia coli carrying transmissible colistin resistance mcr-1 genes in Ugandan poultry","Wainaina M, Ndoboli D, Ayebare D, Mbatidde I, Roesel K, Hammerl JA, Moodley A, Tenhagen BA, Binsker U.","Front Vet Sci. 2025 Nov 17;12:1677640. doi: 10.3389/fvets.2025.1677640. eCollection 2025.","Wainaina M","Front Vet Sci","2025","2025/12/03","PMC12667025","","10.3389/fvets.2025.1677640"
"41332517","Multi-strain Analysis of Pseudomonas putida Reveals the Metabolic and Genetic Diversity of the Species","Mueller J, Krishnan KJ, Wei Q, Hefner Y, Monk JM, Verkler H, Tibocha-Bonilla JD, Ayala A, Palsson BO, Feist AM, Niu W.","bioRxiv [Preprint]. 2025 Nov 17:2025.11.17.688870. doi: 10.1101/2025.11.17.688870.","Mueller J","bioRxiv","2025","2025/12/03","PMC12667986","","10.1101/2025.11.17.688870"
"41330950","NSPOMdb: a curated dataset of the objectionable microorganisms of non-sterile products","Shen Y, Song M, Liu Y, Zhu W, Tai C, Shao H, Yang M, Fan Y, Ou HY.","Sci Data. 2025 Dec 2;13(1):46. doi: 10.1038/s41597-025-06370-1.","Shen Y","Sci Data","2025","2025/12/02","PMC12816050","","10.1038/s41597-025-06370-1"
"41318750","Genomic prediction of phytase potential and stress tolerance in maize-associated plant growth-promoting rhizobacterium Enterobacter cloacae Mz49","Amer MA, Hamed SM.","AMB Express. 2025 Nov 29;15(1):180. doi: 10.1186/s13568-025-01981-8.","Amer MA","AMB Express","2025","2025/11/29","PMC12712290","","10.1186/s13568-025-01981-8"
"41316447","Bioinformatics analysis of Rickettsia typhi autoimmune associations and screening of Streptomyces-derived inhibitors","Basharat Z, Ogaly HA, Al-Zahrani FAM, Wei CR, Hassan SS, Salman M, Islam M, Ahmed I, Waheed Y, Kim S.","BioData Min. 2025 Nov 28;18(1):83. doi: 10.1186/s13040-025-00499-w.","Basharat Z","BioData Min","2025","2025/11/29","PMC12661794","","10.1186/s13040-025-00499-w"
"41312441","Systems Virology at Scale","Griffiths CD, Sweatt AJ, Janes KA.","Curr Opin Syst Biol. 2025 Dec;42:100562. doi: 10.1016/j.coisb.2025.100562. Epub 2025 Nov 6.","Griffiths CD","Curr Opin Syst Biol","2025","2025/11/28","PMC12652384","NIHMS2117308","10.1016/j.coisb.2025.100562"
"41312380","Infection and resistance mechanisms of phage vB_VpM-PP270 in Vibrio parahaemolyticus via capsular polysaccharide","Xihui Z, Junshan H, Jiayin X, Luqi T, Pei L, Wei J, Wei Z.","iScience. 2025 Oct 17;28(11):113811. doi: 10.1016/j.isci.2025.113811. eCollection 2025 Nov 21.","Xihui Z","iScience","2025","2025/11/28","PMC12651398","","10.1016/j.isci.2025.113811"
"41304158","Genomic Drivers of Biofilm Formation in Salmonella Enteritidis and S. Kentucky from Poultry Production","Zhang J, Ebosa O, Diarra M, Nadon C, McAllister T, Sparling R, Narvaez-Bravo C.","Microorganisms. 2025 Oct 29;13(11):2473. doi: 10.3390/microorganisms13112473.","Zhang J","Microorganisms","2025","2025/11/27","PMC12654831","","10.3390/microorganisms13112473"
"41297006","Daily Mosnodenvir as Dengue Prophylaxis in a Controlled Human Infection Model","Durbin AP, Van Wesenbeeck L, Pierce KK, Herrera-Taracena G, Ebone L, Buelens A, Lutton P, Sabundayo BP, Van Eygen V, De Clerck K, Fetter I, Voge NV, Fang X, Goeyvaerts N, Vandendijck Y, Mayfield J, Lenz O, De Meyer S, Kakuda TN, He H, Amaro-Carambot E, Draghia-Akli R, Carmolli M, De Marez T, Whitehead SS, Van Loock M, Rasschaert F.","N Engl J Med. 2025 Nov 27;393(21):2107-2118. doi: 10.1056/NEJMoa2500179.","Durbin AP","N Engl J Med","2025","2025/11/26","PMC12662413","NIHMS2115288","10.1056/NEJMoa2500179"
"41296881","Human gut strains of Desulfovibrio piger exhibit spontaneous induction of multiple prophages","Mayer MJ, Sayavedra L, Gotts K, Wong N, Whiley H, Barham M, Narbad A.","Appl Environ Microbiol. 2025 Dec 23;91(12):e0191725. doi: 10.1128/aem.01917-25. Epub 2025 Nov 26.","Mayer MJ","Appl Environ Microbiol","2025","2025/11/26","PMC12724379","","10.1128/aem.01917-25"
"41296715","Nitrogen-fixing microbes gain genes in diverse types of living environments","Pi HW, Yu CP, Chen YF, Wu BS, Peng LY, Li WH.","Proc Natl Acad Sci U S A. 2025 Dec 2;122(48):e2523106122. doi: 10.1073/pnas.2523106122. Epub 2025 Nov 26.","Pi HW","Proc Natl Acad Sci U S A","2025","2025/11/26","PMC12685144","","10.1073/pnas.2523106122"
"41296543","metaTraits: a large-scale integration of microbial phenotypic trait information","Podlesny D, Kim CY, Robbani SM, Schudoma C, Fullam A, Reimer LC, Koblitz J, Schober I, Iyappan A, Van Rossum T, Schiller J, Grekova A, Kuhn M, Bork P.","Nucleic Acids Res. 2026 Jan 6;54(D1):D835-D841. doi: 10.1093/nar/gkaf1241.","Podlesny D","Nucleic Acids Res","2026","2025/11/26","PMC12807735","","10.1093/nar/gkaf1241"
"41288388","Characterization of Proteus mirabilis isolated from ticks collected in Isiolo and Kilifi Counties, Kenya","Kimemia BB, Musila L, Langat S, Odoyo E, Wataka A, Khamadi S, Johnson J, Egbo T, Garges E, Haynes R, Kellar GG, Eads J, Eyase F.","Microbiol Spectr. 2026 Jan 6;14(1):e0227125. doi: 10.1128/spectrum.02271-25. Epub 2025 Nov 25.","Kimemia BB","Microbiol Spectr","2026","2025/11/25","PMC12772327","","10.1128/spectrum.02271-25"
"41288074","Draft genome sequence of Salmonella enterica subsp. enterica serovar Typhimurium SBI_BS16_ABA_BD isolated from broiler chicken in Dhaka, Bangladesh","Anne AB, Hossen T, Sahib MS, Hakim RU, Islam MR, Supty SM, Saadat TMF, Islam KT, Rubaiyat RN, Fakruddin M, Mondol SM, Islam SMBU.","Microbiol Resour Announc. 2026 Jan 13;15(1):e0117525. doi: 10.1128/mra.01175-25. Epub 2025 Nov 25.","Anne AB","Microbiol Resour Announc","2026","2025/11/25","PMC12797928","","10.1128/mra.01175-25"
"41285814","Prevalence study in Cameroon identifies Brucella abortus as the endemic Brucella species in livestock","Guela GK, Laine CG, Gontao P, Dada COG, Abiba H, Desire DP, Mbacham W, Garcia-Gonzalez D, Vection S, Gillece JD, Kim M, Johnson VE, Foster JT, Wade A, Arenas-Gamboa AM.","Nat Commun. 2025 Nov 24;16(1):11600. doi: 10.1038/s41467-025-66515-z.","Guela GK","Nat Commun","2025","2025/11/24","PMC12748910","","10.1038/s41467-025-66515-z"
"41283693","Draft genome sequence of traditional fermented bamboo shoot-origin Levilactobacillus zymae isolate obtained from India","Singh MG, Karmakar D, Jeyaram K, Wahengbam R.","Microbiol Resour Announc. 2026 Jan 13;15(1):e0107525. doi: 10.1128/mra.01075-25. Epub 2025 Nov 24.","Singh MG","Microbiol Resour Announc","2026","2025/11/24","PMC12797960","","10.1128/mra.01075-25"
"41280088","Host cyclophilin-mediated maturation of an obligate intracellular bacterial surface virulence factor","Sit B, Sanderlin AG, Zhu CY, Bird LE, Doench JG, Lamason RL.","bioRxiv [Preprint]. 2025 Oct 28:2025.10.28.684717. doi: 10.1101/2025.10.28.684717.","Sit B","bioRxiv","2025","2025/11/24","PMC12636401","","10.1101/2025.10.28.684717"
"41280037","tRNA Modification Landscapes in Streptococci: Shared Losses and Clade-Specific Adaptations","Tsui HT, Chan CK, Yuan Y, Elias R, Sun J, Marchand V, Jaroch M, Sun G, Manzoor I, Kutchuashvili A, Motorin Y, Leszczynska G, Seaton K, Rice KC, Swairjo MA, Winkler ME, Dedon PC, de Crécy-Lagard V.","bioRxiv [Preprint]. 2025 Nov 8:2025.10.13.681863. doi: 10.1101/2025.10.13.681863.","Tsui HT","bioRxiv","2025","2025/11/24","PMC12632869","","10.1101/2025.10.13.681863"
"41279520","From sequence to signature: Machine learning uncovers multiscale feature landscapes that predict AMR across ESKAPE pathogens","Ghosh A, Brenner EP, Vang CK, Wolfe EP, Boyer EA, Lesiyon RL, Manpearl KR, Sridhar V, Burke JT, Krol JD, Bilodeaux JM, Ravi J.","bioRxiv [Preprint]. 2025 Oct 20:2025.07.03.663053. doi: 10.1101/2025.07.03.663053.","Ghosh A","bioRxiv","2025","2025/11/24","PMC12633328","","10.1101/2025.07.03.663053"
"41277863","Draft genome sequence of endometrial Schaalia turicensis strain R31 from a patient with adenomyosis","Jimenez N, Hawkins M, Hurwitz B, Herbst-Kralovetz MM.","Microbiol Resour Announc. 2026 Jan 13;15(1):e0096125. doi: 10.1128/mra.00961-25. Epub 2025 Nov 24.","Jimenez N","Microbiol Resour Announc","2026","2025/11/24","PMC12798068","","10.1128/mra.00961-25"
"41274892","Emergent roles of infant gut microbes during the utilization of human milk oligosaccharides","Pröschle-Donoso T, Díaz R, Vásquez-Dean J, Serebrinsky-Duek K, Pezoa-Soto I, Martin AJM, Garrido D.","NPJ Biofilms Microbiomes. 2025 Nov 23;11(1):233. doi: 10.1038/s41522-025-00865-w.","Pröschle-Donoso T","NPJ Biofilms Microbiomes","2025","2025/11/22","PMC12722761","","10.1038/s41522-025-00865-w"
"41272790","Characterization and comparative genome analysis of a new Tequintavirus isolated on Salmonella enterica serotype Tennessee","Maurin A, Zarate-Chaves C, Breyton C, Dainat J, Feugier A, Froissart R.","BMC Res Notes. 2025 Nov 21;18(1):491. doi: 10.1186/s13104-025-07533-4.","Maurin A","BMC Res Notes","2025","2025/11/22","PMC12639943","","10.1186/s13104-025-07533-4"
"41269653","Comprehensive in silico analysis of Acinetobacter isolates from South Korea reveals genomic diversity, antimicrobial resistance, virulence factors, and evolutionary dynamics","Islam MM, Han K, Woo K, Shin WS, Oh MH.","Genes Genomics. 2026 Jan;48(1):147-162. doi: 10.1007/s13258-025-01702-2. Epub 2025 Nov 21.","Islam MM","Genes Genomics","2026","2025/11/21","","","10.1007/s13258-025-01702-2"
"41266316","Directed evolution of phages in biofilms enhances Pseudomonas aeruginosa control through improved lipopolysaccharide recognition","Meneses L, Valentová L, Santos SB, Erdmann J, Crabbé A, Plevka P, Häussler S, Pires DP, Coenye T, Azeredo J.","Nat Commun. 2025 Nov 20;16(1):10219. doi: 10.1038/s41467-025-65014-5.","Meneses L","Nat Commun","2025","2025/11/20","PMC12635225","","10.1038/s41467-025-65014-5"
"41263111","MicrobialScope: an integrated genomic resource with rich annotations across bacteria, archaea, fungi, and viruses","Feng X, Li Y, Zheng J, Chen X, Yang S, Chen Y, Li SC.","Nucleic Acids Res. 2026 Jan 6;54(D1):D842-D851. doi: 10.1093/nar/gkaf1234.","Feng X","Nucleic Acids Res","2026","2025/11/20","PMC12807694","","10.1093/nar/gkaf1234"
"41261732","proGenomes4: providing 2 million accurately and consistently annotated high-quality prokaryotic genomes","Fullam A, Letunic I, Maistrenko OM, Castro AA, Coelho LP, Grekova A, Schudoma C, Khedkar S, Robbani M, Kuhn M, Schmidt TSB, Bork P, Mende DR.","Nucleic Acids Res. 2026 Jan 6;54(D1):D852-D857. doi: 10.1093/nar/gkaf1208.","Fullam A","Nucleic Acids Res","2026","2025/11/20","PMC12807698","","10.1093/nar/gkaf1208"
"41258013","Experimental phage evolution results in expanded host ranges against antibiotic resistant Klebsiella pneumoniae isolates","Ghatbale P, Blanc A, Sue A, Leonard J, Bates M, Garcia AG, Hensley J, Gomes Nunes DD, Hitchcock N, Shiach J, Bardaró R, Sah G, Ghose C, Whiteson KL, Schooley RT, White RA 3rd, Cobián Güemes AG, Meyer JR, Pride DT.","Nat Commun. 2025 Nov 19;16(1):9903. doi: 10.1038/s41467-025-66062-7.","Ghatbale P","Nat Commun","2025","2025/11/19","PMC12630596","","10.1038/s41467-025-66062-7"
"41257545","Comparative genomics of dominant members of the gut core microbiome of the bark beetle, Dendroctonus rhizophagus (Curculionidae: Scolytinae) reveals potential functional complementarity in the detoxification process","Vazquez-Ortiz K, Rivera-Orduña FN, Zúñiga G.","BMC Genomics. 2025 Nov 19;26(1):1064. doi: 10.1186/s12864-025-12279-1.","Vazquez-Ortiz K","BMC Genomics","2025","2025/11/19","PMC12628601","","10.1186/s12864-025-12279-1"
"41254078","Comparative assessment of annotation tools reveals critical antimicrobial resistance knowledge gaps in Klebsiella pneumoniae","Kordova K, Collins C, Parkhill J.","Sci Rep. 2025 Nov 18;15(1):40495. doi: 10.1038/s41598-025-24333-9.","Kordova K","Sci Rep","2025","2025/11/18","PMC12627748","","10.1038/s41598-025-24333-9"
"41253219","HMPV-TherResDB: Comprehensive human metapneumovirus (HMPV) database for sequence-structure annotations, vaccine resources, and therapeutics research","Khan A, Mohammad A, Alshabrmi FM, Alatawi EA, Junaid M, Agouni A.","Virus Res. 2026 Jan;363:199665. doi: 10.1016/j.virusres.2025.199665. Epub 2025 Nov 16.","Khan A","Virus Res","2026","2025/11/18","PMC12768921","","10.1016/j.virusres.2025.199665"
"41251768","Ammoniphilus soli sp. nov., Isolated from an Efficient Pymetrozine-Degrading Bacterial Community Derived from a Long-Term Continuous Cotton Field in Xinjiang","Chai L, Kong D, Mulati M, Yi Y, Zhang Z, Zhang W.","Curr Microbiol. 2025 Nov 18;83(1):30. doi: 10.1007/s00284-025-04449-x.","Chai L","Curr Microbiol","2025","2025/11/18","","","10.1007/s00284-025-04449-x"
"41251138","BV-BRC: a unified bacterial and viral bioinformatics resource with expanded functionality and AI integration","Shukla M, Wattam AR, Aleman A, Bhattacharya R, Bowers N, Brettin T, Capria A, Chia N, Cucinell C, Davis JJ, Dempsey DM, Dickerman A, Dietrich EM, Gokdemir O, Hendrickson RC, Kenyon RW, Klahn B, Kuscuoglu M, Lefkowitz EJ, Ma H, Machi D, Macken C, Mann CM, Mao C, Nguyen M, Olsen GJ, Olson RD, Overbeek R, Owens SM, Parrello B, Poretsky R, Pusch GD, Ramanathan A, Sheriff JT, Singh I, Stewart L, VanOeffelen M, Vonstein V, Warren AS, Wilke A, Zmasek CM, Zuniga A, Stevens RL.","Nucleic Acids Res. 2026 Jan 6;54(D1):D715-D723. doi: 10.1093/nar/gkaf1254.","Shukla M","Nucleic Acids Res","2026","2025/11/18","PMC12807693","","10.1093/nar/gkaf1254"
"41245674","A Haemophilus influenzae-associated mycotic aneurysm months after treated bacteremia","Bennett J, Lohsen S, Kim EY, Ravichandran P, Blake W, Workowski KA, Satola SW, Collins MH, Steed DB.","ASM Case Rep. 2025 Jun 12;1(4):e00027-25. doi: 10.1128/asmcr.00027-25. eCollection 2025 Jul.","Bennett J","ASM Case Rep","2025","2025/11/17","PMC12466014","","10.1128/asmcr.00027-25"
"41237040","Tenacibaculum salmonis sp. nov., isolated from Atlantic salmon (Salmo salar L.) fish farmed in Chile","Avendaño-Herrera R, Irgang R, Lopez P.","Int J Syst Evol Microbiol. 2025 Nov;75(11):006963. doi: 10.1099/ijsem.0.006963.","Avendaño-Herrera R","Int J Syst Evol Microbiol","2025","2025/11/14","PMC12617846","","10.1099/ijsem.0.006963"
"41227682","Detection, Genomic Characterization, and Antibiotic Susceptibility of Salmonella Anatum SPBM3 Isolated from Plant-Based Meat","Phayakka P, Vongkamjan K, Khrongsee P, Subramaniam K, Mordmueng A, Pelyuntha W.","Foods. 2025 Oct 30;14(21):3710. doi: 10.3390/foods14213710.","Phayakka P","Foods","2025","2025/11/13","PMC12607527","","10.3390/foods14213710"
"41227457","Bacterial Composition Across Bat Species: A Human Health Perspective","Soto-López JD, Fernández-Soto P, Muro A.","Animals (Basel). 2025 Oct 28;15(21):3126. doi: 10.3390/ani15213126.","Soto-López JD","Animals (Basel)","2025","2025/11/13","PMC12607339","","10.3390/ani15213126"
"41225322","Identification of poultry commensal bacteria with the ability to inhibit the growth of Salmonella enterica serovar Typhimurium in co-culture","Feng Z, Dagenais V, Leclerc V, Pigozzo C, Ronholm J.","BMC Microbiol. 2025 Nov 12;25(1):735. doi: 10.1186/s12866-025-04482-7.","Feng Z","BMC Microbiol","2025","2025/11/12","PMC12613383","","10.1186/s12866-025-04482-7"
"41217201","Genomic analysis of virulence factors of nosocomial MDR A. baumannii from a tertiary care hospital","Shaikh A, Marathe A, Prajapati B.","Microbiol Spectr. 2025 Dec 2;13(12):e0070725. doi: 10.1128/spectrum.00707-25. Epub 2025 Nov 11.","Shaikh A","Microbiol Spectr","2025","2025/11/11","PMC12671222","","10.1128/spectrum.00707-25"
"41209492","Safety evaluation of Butyricicoccus faecihominis DSM 34943","Pitt J, Bauter MR, Kumar R, Hasselwander O, Hibberd AA, Kane H, Wang Q, Auzanneau I, Bry S, David E, Seguinot P, Burns F, Smith AB, Carnovale M.","Toxicol Rep. 2025 Oct 22;15:102145. doi: 10.1016/j.toxrep.2025.102145. eCollection 2025 Dec.","Pitt J","Toxicol Rep","2025","2025/11/10","PMC12595356","","10.1016/j.toxrep.2025.102145"
"41206427","Diversity of grass-associated Nitrospirillum and proposal of six novel species","Zilli JE, Schwab S, Dos Santos Ferreira N, Reis VM, de Oliveira Junior AF, Simões-Araujo JL, de Barros Soares LH, Dos Santos Dourado F, Bach E, Roesch LFW, Rossi CN, de Oliveira Lima de Souza KM, Alves BJR, Silva AL, Baldani JI.","Braz J Microbiol. 2025 Dec;56(4):2827-2843. doi: 10.1007/s42770-025-01802-x. Epub 2025 Nov 9.","Zilli JE","Braz J Microbiol","2025","2025/11/08","PMC12660569","","10.1007/s42770-025-01802-x"
